x y z qx qy qz qw yaw_deg direction
-0.096780 -0.161685 0.000000 0.000000 0.000000 0.912086 -0.409998 -131.59 stop
-0.095744 -0.160576 0.000000 0.000000 0.000000 0.912086 -0.409998 -131.59 stop
-0.094707 -0.159468 0.000000 0.000000 0.000000 0.912086 -0.409998 -131.59 stop
-0.093670 -0.158365 0.000000 0.000000 0.000000 0.912086 -0.409999 -131.59 stop
-0.100895 -0.167787 0.000000 0.000000 0.000000 0.912086 -0.409999 -131.59 stop
-0.100022 -0.166902 0.000000 0.000000 0.000000 0.912086 -0.409999 -131.59 stop
-0.099151 -0.166021 0.000000 0.000000 0.000000 0.912086 -0.409999 -131.59 stop
-0.098279 -0.165144 0.000000 0.000000 0.000000 0.912086 -0.410000 -131.59 stop
-0.097407 -0.164271 0.000000 0.000000 0.000000 0.912086 -0.410000 -131.59 stop
-0.096536 -0.163403 0.000000 0.000000 0.000000 0.912085 -0.410000 -131.59 stop
-0.103210 -0.171799 0.000000 0.000000 0.000000 0.912086 -0.410000 -131.59 stop
-0.102493 -0.171127 0.000000 0.000000 0.000000 0.912085 -0.410000 -131.59 stop
-0.101776 -0.170461 0.000000 0.000000 0.000000 0.912085 -0.410001 -131.59 stop
-0.101062 -0.169800 0.000000 0.000000 0.000000 0.912085 -0.410001 -131.59 stop
-0.100349 -0.169146 0.000000 0.000000 0.000000 0.912085 -0.410001 -131.59 stop
-0.099638 -0.168497 0.000000 0.000000 0.000000 0.912085 -0.410001 -131.59 stop
-0.105696 -0.175838 0.000000 0.000000 0.000000 0.912085 -0.410001 -131.59 stop
-0.105125 -0.175363 0.000000 0.000000 0.000000 0.912085 -0.410001 -131.59 stop
-0.104557 -0.174895 0.000000 0.000000 0.000000 0.912085 -0.410002 -131.59 stop
-0.103991 -0.174434 0.000000 0.000000 0.000000 0.912085 -0.410002 -131.59 stop
-0.103428 -0.173981 0.000000 0.000000 0.000000 0.912085 -0.410002 -131.59 stop
-0.102869 -0.173535 0.000000 0.000000 0.000000 0.912085 -0.410002 -131.59 stop
-0.108269 -0.179816 0.000000 0.000000 0.000000 0.912085 -0.410002 -131.59 stop
-0.107835 -0.179520 0.000000 0.000000 0.000000 0.912084 -0.410002 -131.59 stop
-0.107405 -0.179234 0.000000 0.000000 0.000000 0.912084 -0.410003 -131.59 stop
-0.106979 -0.178955 0.000000 0.000000 0.000000 0.912084 -0.410003 -131.59 stop
-0.106556 -0.178685 0.000000 0.000000 0.000000 0.912084 -0.410003 -131.59 stop
-0.106138 -0.178423 0.000000 0.000000 0.000000 0.912086 -0.410000 -131.59 stop
-0.110860 -0.183663 0.000000 0.000000 0.000000 0.912085 -0.410000 -131.59 stop
-0.110553 -0.183529 0.000000 0.000000 0.000000 0.912085 -0.410000 -131.59 stop
-0.110251 -0.183405 0.000000 0.000000 0.000000 0.912104 -0.409960 -131.60 stop
-0.109953 -0.183290 0.000000 0.000000 0.000000 0.912106 -0.409955 -131.60 stop
-0.109659 -0.183184 0.000000 0.000000 0.000000 0.912108 -0.409950 -131.60 stop
-0.109370 -0.183087 0.000000 0.000000 0.000000 0.912122 -0.409919 -131.60 stop
-0.113414 -0.187325 0.000000 0.000000 0.000000 0.912125 -0.409912 -131.60 stop
-0.113222 -0.187334 0.000000 0.000000 0.000000 0.912129 -0.409904 -131.60 stop
