x y z qx qy qz qw yaw_deg direction
4.221993 10.545740 0.000000 0.000000 0.000000 0.565278 0.824901 68.84 stop
4.223852 10.547379 0.000000 0.000000 0.000000 0.565288 0.824893 68.84 stop
4.225722 10.549013 0.000000 0.000000 0.000000 0.565299 0.824886 68.85 stop
4.226720 10.538951 0.000000 0.000000 0.000000 0.565309 0.824879 68.85 stop
4.228592 10.540336 0.000000 0.000000 0.000000 0.565320 0.824872 68.85 stop
4.230472 10.541714 0.000000 0.000000 0.000000 0.565330 0.824865 68.85 stop
4.232360 10.543083 0.000000 0.000000 0.000000 0.565344 0.824855 68.85 stop
4.234257 10.544444 0.000000 0.000000 0.000000 0.565355 0.824848 68.85 stop
4.236164 10.545799 0.000000 0.000000 0.000000 0.565366 0.824840 68.86 stop
4.234590 10.536270 0.000000 0.000000 0.000000 0.565376 0.824833 68.86 stop
4.236444 10.537388 0.000000 0.000000 0.000000 0.565387 0.824826 68.86 stop
4.238308 10.538496 0.000000 0.000000 0.000000 0.565397 0.824819 68.86 stop
4.240179 10.539594 0.000000 0.000000 0.000000 0.565411 0.824809 68.86 stop
4.242060 10.540684 0.000000 0.000000 0.000000 0.565421 0.824802 68.86 stop
4.243948 10.541764 0.000000 0.000000 0.000000 0.565432 0.824795 68.86 stop
4.240412 10.532980 0.000000 0.000000 0.000000 0.565443 0.824788 68.87 stop
4.242208 10.533840 0.000000 0.000000 0.000000 0.565453 0.824780 68.87 stop
4.244012 10.534689 0.000000 0.000000 0.000000 0.565464 0.824773 68.87 stop
4.245821 10.535527 0.000000 0.000000 0.000000 0.565477 0.824764 68.87 stop
4.247640 10.536353 0.000000 0.000000 0.000000 0.565487 0.824757 68.87 stop
4.249467 10.537169 0.000000 0.000000 0.000000 0.565498 0.824750 68.87 stop
4.239528 10.575242 0.000000 0.000000 0.000000 0.565525 0.824731 68.88 stop
4.241131 10.576797 0.000000 0.000000 0.000000 0.565536 0.824724 68.88 stop
4.242738 10.578346 0.000000 0.000000 0.000000 0.565547 0.824716 68.88 stop
4.244349 10.579889 0.000000 0.000000 0.000000 0.565556 0.824710 68.88 stop
4.245968 10.581429 0.000000 0.000000 0.000000 0.565567 0.824702 68.88 stop
4.247592 10.582964 0.000000 0.000000 0.000000 0.565578 0.824695 68.88 stop
4.237928 10.610290 0.000000 0.000000 0.000000 0.565598 0.824681 68.89 stop
4.239332 10.612340 0.000000 0.000000 0.000000 0.565609 0.824674 68.89 stop
4.240741 10.614393 0.000000 0.000000 0.000000 0.565620 0.824666 68.89 stop
4.242152 10.616442 0.000000 0.000000 0.000000 0.565628 0.824661 68.89 stop
4.243567 10.618493 0.000000 0.000000 0.000000 0.565638 0.824653 68.89 stop
4.244987 10.620544 0.000000 0.000000 0.000000 0.565649 0.824646 68.89 stop
4.235773 10.638975 0.000000 0.000000 0.000000 0.565665 0.824635 68.90 stop
4.236983 10.641360 0.000000 0.000000 0.000000 0.565676 0.824628 68.90 stop
4.238194 10.643747 0.000000 0.000000 0.000000 0.565687 0.824620 68.90 stop
4.239406 10.646134 0.000000 0.000000 0.000000 0.565694 0.824615 68.90 stop
4.240620 10.648526 0.000000 0.000000 0.000000 0.565705 0.824608 68.90 stop
4.241838 10.650921 0.000000 0.000000 0.000000 0.565715 0.824601 68.90 stop
4.233217 10.662092 0.000000 0.000000 0.000000 0.565729 0.824591 68.91 stop
