x y z qx qy qz qw yaw_deg direction
7.453534 18.464828 0.000000 0.000000 0.000000 0.578693 0.815545 70.72 stop
7.452558 18.464802 0.000000 0.000000 0.000000 0.578681 0.815554 70.72 stop
7.434587 18.465868 0.000000 0.000000 0.000000 0.578672 0.815561 70.71 stop
7.433140 18.465620 0.000000 0.000000 0.000000 0.578653 0.815574 70.71 stop
7.431628 18.465247 0.000000 0.000000 0.000000 0.578641 0.815583 70.71 stop
7.430049 18.464750 0.000000 0.000000 0.000000 0.578628 0.815591 70.71 stop
7.428406 18.464129 0.000000 0.000000 0.000000 0.578613 0.815602 70.71 stop
7.426698 18.463383 0.000000 0.000000 0.000000 0.578601 0.815611 70.70 stop
7.414509 18.464073 0.000000 0.000000 0.000000 0.578587 0.815620 70.70 stop
7.412458 18.463112 0.000000 0.000000 0.000000 0.578573 0.815631 70.70 forward
7.410340 18.462027 0.000000 0.000000 0.000000 0.578561 0.815639 70.70 forward
7.408156 18.460819 0.000000 0.000000 0.000000 0.578548 0.815648 70.70 forward
7.405902 18.459484 0.000000 0.000000 0.000000 0.578534 0.815658 70.70 forward
7.403584 18.458028 0.000000 0.000000 0.000000 0.578522 0.815667 70.69 forward
7.396602 18.459341 0.000000 0.000000 0.000000 0.578508 0.815677 70.69 forward
7.394057 18.457697 0.000000 0.000000 0.000000 0.578450 0.815718 70.68 forward
7.391441 18.455928 0.000000 0.000000 0.000000 0.578431 0.815731 70.68 forward
7.388760 18.454036 0.000000 0.000000 0.000000 0.578412 0.815745 70.68 forward
7.386009 18.452024 0.000000 0.000000 0.000000 0.578255 0.815856 70.66 forward
7.383190 18.449887 0.000000 0.000000 0.000000 0.578216 0.815883 70.65 forward
7.380837 18.452556 0.000000 0.000000 0.000000 0.578176 0.815912 70.64 forward
7.376515 18.449187 0.000000 0.000000 0.000000 0.577908 0.816102 70.61 forward
7.374878 18.447871 0.000000 0.000000 0.000000 0.577872 0.816127 70.60 forward
7.371800 18.445347 0.000000 0.000000 0.000000 0.577807 0.816174 70.59 forward
7.368647 18.442707 0.000000 0.000000 0.000000 0.577485 0.816401 70.55 forward
7.365427 18.439937 0.000000 0.000000 0.000000 0.577386 0.816472 70.53 forward
7.367141 18.444471 0.000000 0.000000 0.000000 0.577284 0.816543 70.52 forward
7.363882 18.441620 0.000000 0.000000 0.000000 0.576878 0.816830 70.46 forward
7.360558 18.438640 0.000000 0.000000 0.000000 0.576739 0.816928 70.44 forward
7.357167 18.435542 0.000000 0.000000 0.000000 0.576600 0.817026 70.42 forward
7.353699 18.432339 0.000000 0.000000 0.000000 0.576095 0.817383 70.35 forward
7.350172 18.429007 0.000000 0.000000 0.000000 0.575910 0.817513 70.33 forward
7.355400 18.435711 0.000000 0.000000 0.000000 0.575723 0.817645 70.30 forward
7.351903 18.432355 0.000000 0.000000 0.000000 0.575181 0.818026 70.22 forward
7.348347 18.428875 0.000000 0.000000 0.000000 0.574949 0.818189 70.19 forward
7.344716 18.425271 0.000000 0.000000 0.000000 0.574716 0.818353 70.16 forward
7.341006 18.421577 0.000000 0.000000 0.000000 0.574015 0.818845 70.06 forward
7.337242 18.417751 0.000000 0.000000 0.000000 0.573727 0.819046 70.02 forward
7.345475 18.426781 0.000000 0.000000 0.000000 0.573438 0.819249 69.98 forward
7.341802 18.423005 0.000000 0.000000 0.000000 0.572648 0.819801 69.87 forward
7.338072 18.419095 0.000000 0.000000 0.000000 0.572302 0.820043 69.82 forward
7.334276 18.415075 0.000000 0.000000 0.000000 0.571956 0.820285 69.77 forward
7.330386 18.410966 0.000000 0.000000 0.000000 0.571082 0.820893 69.65 forward
7.326444 18.406721 0.000000 0.000000 0.000000 0.570676 0.821175 69.59 forward
7.337223 18.418113 0.000000 0.000000 0.000000 0.570269 0.821458 69.54 forward
7.333427 18.413987 0.000000 0.000000 0.000000 0.569322 0.822115 69.41 forward
7.329586 18.409736 0.000000 0.000000 0.000000 0.568856 0.822437 69.34 forward
7.325666 18.405364 0.000000 0.000000 0.000000 0.568388 0.822761 69.28 forward
7.321656 18.400920 0.000000 0.000000 0.000000 0.567378 0.823457 69.14 forward
7.317603 18.396348 0.000000 0.000000 0.000000 0.566853 0.823819 69.06 forward
7.330479 18.410005 0.000000 0.000000 0.000000 0.566326 0.824181 68.99 forward
7.326495 18.405715 0.000000 0.000000 0.000000 0.561769 0.827294 68.36 forward
7.322539 18.401219 0.000000 0.000000 0.000000 0.560635 0.828063 68.20 forward
7.318381 18.396479 0.000000 0.000000 0.000000 0.559464 0.828855 68.04 forward
